epoch,acc,loss,val_acc,val_loss
0,0.8322981366459627,0.5116632917652959,0.9428571428571428,0.8510684796742043
1,0.6832298136645962,0.4859507211501369,0.9428571428571428,0.9214325325829654
2,0.9192546583850931,0.3658008649570163,0.9428571428571428,0.9422977822167545
3,0.8571428571428571,0.28636957991938095,0.9428571428571428,0.9201356308933359
4,0.9192546583850931,0.3303753216334247,0.9428571428571428,0.7188460508627551
5,0.9192546583850931,0.24490897774617987,0.9428571428571428,0.5269558157771825
6,0.9192546583850931,0.21183879071973957,0.9428571428571428,0.460850947030953
7,0.9192546583850931,0.20858800892557205,0.9428571428571428,0.35451681039163047
8,0.9192546583850931,0.18723120600540727,0.9428571428571428,0.23088404536247253
9,0.9192546583850931,0.17957748611752888,0.9428571428571428,0.16709058923380715
10,0.9192546583850931,0.17194519798233712,0.9428571428571428,0.14182555973529815
11,0.9192546583850931,0.16122941682057387,0.9428571428571428,0.22459991063390458
12,0.9254658385093167,0.13541301622153915,0.9428571428571428,0.22259185058729988
13,0.9254658385093167,0.12450490160758557,0.5571428575686046,0.5897788694926671
14,0.9503105590062112,0.09605178181429158,0.742857141154153,0.47796849012374876
15,0.9565217391304348,0.06459521951144565,0.628571428997176,0.7114443915230887
16,0.9751552795031055,0.0706310586899705,0.9142857125827244,0.1512048521212169
17,0.968944099378882,0.12816350430435275,0.07142857142857142,3.0803650447300504
18,0.6086956521739131,1.3000984414023855,0.9428571428571428,0.78935844898224
19,0.9440993788819876,0.15259656685032819,0.9428571428571428,0.8612909691674381
20,0.937888198757764,0.149670019653273,0.9428571428571428,0.9210361582892294
21,0.968944099378882,0.07186120836446012,0.9428571428571428,0.9210341419492462
22,0.9875776397515528,0.04960480257463853,0.9428571428571428,0.9210341419492462
23,1.0,0.0008122447591784905,0.9428571428571428,0.8484168563570307
24,1.0,0.002565711413283186,0.9428571428571428,0.8007808242525385
25,0.9937888198757764,0.022810261078798647,0.9428571428571428,0.806812187603543
26,1.0,0.002381645166893688,0.9428571428571428,0.732881774221149
27,1.0,0.00015372032740181,0.9571428571428572,0.6930864708764225
28,0.968944099378882,0.08486623271232682,1.0,0.0001198735851825664
29,0.968944099378882,0.05956330018621294,0.9428571428571428,0.8742452451160988
30,0.9565217391304348,0.16144677058299028,0.9857142857142858,0.04907296394064612
31,0.9627329192546584,0.14822328662187426,0.9714285714285714,0.04915246197169024
32,0.9751552795031055,0.16472940723648916,0.9714285697255816,0.1594963456437524
33,0.9751552795031055,0.09821598833392134,0.9571428571428572,0.5927974258150386
34,0.9813664596273292,0.03458388732827237,0.9571428571428572,0.6918150867734649
35,0.9937888198757764,0.027630271100849927,0.9571428571428572,0.6925427947725581
36,0.9813664596273292,0.0343617406320869,0.9571428571428572,0.6717548472540731
37,1.0,0.004838471908284359,0.9571428571428572,0.6003146137510039
38,0.9937888198757764,0.007416852278438317,0.9571428571428572,0.40866087164197773
39,1.0,0.004236760176139862,0.9714285714285714,0.13826063019888862
40,1.0,0.00011640055588114092,0.9857142857142858,0.024957013981684133
41,1.0,0.0004390160103404609,1.0,0.003043574547130642
42,1.0,7.033688869474964e-05,1.0,0.000636464410604276
43,1.0,5.868134256576841e-05,1.0,0.0001877775416703896
44,1.0,0.00025607185978422333,1.0,7.579527902440272e-05
45,1.0,6.492268431489361e-05,1.0,4.299745939988498e-05
46,1.0,4.0770905679585e-05,1.0,2.6549298516848857e-05
47,1.0,6.355731408207347e-05,1.0,1.7280203155678465e-05
48,1.0,5.785282809724198e-05,1.0,1.2494596077366232e-05
49,1.0,8.178906665649415e-05,1.0,9.870940214438762e-06
50,1.0,4.6048083712192164e-05,1.0,8.683486885274761e-06
51,1.0,0.0002384181737268694,1.0,7.743977299209552e-06
52,1.0,3.927095644242679e-05,1.0,7.507175593803238e-06
53,1.0,3.748030621590393e-05,1.0,9.482208406552673e-06
54,1.0,4.581327635806597e-05,1.0,9.719089263983603e-06
